cgpa,projects,communication_skills,internship,programming_skills,technical_skills,certifications,aptitude,interview_score,placement_status
7.29,0,7.5,0,6.7,5.2,1,73.5,62.8,1
7.63,5,6.8,0,6.6,7.0,3,74.9,74.5,1
5.76,3,8.1,0,5.2,4.9,1,56.6,67.8,0
6.89,2,7.8,0,4.9,5.2,2,53.2,73.5,1
7.87,4,3.9,0,6.7,6.9,0,80.1,50.0,1
6.4,2,6.9,0,5.7,5.6,2,69.2,66.2,1
6.33,3,6.5,0,6.4,6.0,3,62.3,60.7,1
7.34,4,7.9,0,5.8,5.2,3,69.1,66.6,1
6.88,4,7.8,1,5.6,5.2,2,58.6,71.5,1
7.42,2,6.9,1,6.5,7.2,2,62.5,77.8,1
6.3,3,8.0,0,8.0,6.6,2,71.1,53.4,1
6.78,0,6.5,0,4.8,5.2,1,72.5,62.4,0
7.92,6,6.1,1,6.7,6.6,3,97.8,73.0,1
8.19,5,6.4,1,8.3,8.5,1,84.3,79.5,1
7.54,4,6.4,0,6.8,5.8,3,73.0,67.5,1
6.54,4,7.1,0,6.8,4.1,2,57.1,66.4,1
6.82,3,6.0,0,6.4,6.9,1,70.6,52.6,1
6.81,4,7.5,0,5.6,4.9,3,65.4,67.2,1
8.24,3,6.0,1,5.1,4.5,1,77.2,61.3,1
8.29,3,6.3,0,6.4,5.8,3,78.1,64.7,1
6.39,1,7.9,0,6.2,6.5,1,75.2,65.3,1
7.03,5,7.8,0,7.7,8.5,1,71.0,79.0,1
7.85,1,6.3,0,6.0,6.0,2,76.3,52.8,0
6.15,2,7.2,0,6.6,6.1,0,52.4,75.1,1
8.59,5,6.0,0,6.5,6.9,3,79.9,53.1,1
7.48,3,8.2,0,6.0,5.9,1,60.8,74.6,1
6.07,0,5.1,0,5.6,4.7,2,47.9,50.0,0
8.41,1,6.0,0,5.8,5.5,2,77.9,56.0,1
5.04,0,5.9,0,3.0,3.4,0,35.0,41.6,0
7.86,1,5.7,0,7.1,7.2,2,81.3,60.9,1
7.31,6,7.9,1,8.2,7.9,2,82.9,79.8,1
6.48,3,7.0,1,6.4,6.1,1,54.8,62.6,1
7.16,4,3.4,0,6.8,6.5,1,72.0,49.4,1
7.01,3,7.4,0,6.3,5.3,3,51.6,57.1,1
8.28,3,5.8,1,4.7,4.5,4,83.0,52.6,1
4.86,2,6.4,0,5.3,4.9,1,41.4,58.9,1
7.86,6,8.0,1,9.2,8.4,2,75.5,80.3,1
6.5,1,8.1,0,5.1,4.0,2,48.3,75.1,0
7.8,0,6.1,0,4.8,3.4,1,62.4,58.0,0
6.48,3,5.0,0,6.1,6.4,1,58.5,59.0,0
7.33,6,7.8,1,7.6,7.4,2,77.1,82.2,1
7.06,2,7.7,0,5.7,5.6,2,68.1,69.2,1
8.02,4,7.9,0,6.3,5.5,3,68.2,71.4,0
8.43,4,8.2,1,6.4,7.4,2,92.5,79.1,1
6.23,2,6.9,0,4.5,5.3,2,45.9,59.8,0
7.04,2,6.8,0,7.1,5.7,1,60.5,73.6,0
5.85,3,8.5,0,6.3,5.1,3,60.0,71.1,0
7.47,5,7.0,1,5.9,7.4,4,72.7,73.8,1
7.04,1,6.9,0,4.2,4.7,0,57.9,50.9,0
8.31,2,5.0,0,5.2,6.1,2,82.8,46.1,1
6.45,3,7.9,1,8.0,6.6,1,51.8,86.2,1
5.93,0,5.0,0,2.5,3.1,1,35.0,37.7,1
5.12,3,4.9,0,5.6,4.6,1,50.7,43.2,1
6.93,1,6.1,0,4.4,4.4,0,66.0,45.8,0
7.81,4,6.2,0,6.3,5.4,4,76.1,59.2,1
7.71,4,7.5,0,5.8,5.5,2,68.7,69.1,0
5.92,2,5.7,0,6.9,6.5,1,58.9,51.1,0
7.73,4,5.6,0,7.7,7.2,2,84.6,62.1,1
7.43,5,7.6,0,7.6,7.1,3,79.9,69.6,0
8.03,5,8.5,1,7.2,7.4,3,73.9,83.1,1
5.67,2,5.6,0,4.9,3.5,2,50.3,53.7,0
5.28,1,6.2,0,3.8,4.2,1,35.0,39.8,0
6.31,2,6.6,0,6.1,6.0,1,57.8,60.5,0
7.24,3,7.2,1,7.8,7.2,2,72.5,62.6,1
7.95,0,7.0,0,4.1,5.6,0,68.8,65.5,1
